Date,Open,High,Low,Close,Adj Close,Volume
2014-02-19,6796.399902,6810.500000,6759.899902,6796.700195,6796.700195,793947100
2014-02-20,6796.700195,6813.000000,6732.000000,6813.000000,6813.000000,745785700
2014-02-21,6813.000000,6859.899902,6813.000000,6838.100098,6838.100098,1024984200
2014-02-24,6838.100098,6865.899902,6797.799805,6865.899902,6865.899902,1068068300
2014-02-25,6862.700195,6866.399902,6790.899902,6830.500000,6830.500000,1163984100
2014-02-26,6830.500000,6834.100098,6785.299805,6799.200195,6799.200195,739193300
2014-02-27,6799.200195,6819.200195,6733.500000,6810.299805,6810.299805,860420000
2014-02-28,6810.299805,6833.799805,6785.500000,6809.700195,6809.700195,924578400
2014-03-03,6809.700195,6809.700195,6671.899902,6708.399902,6708.399902,829082600
2014-03-04,6708.399902,6827.200195,6708.399902,6823.799805,6823.799805,734136300
2014-03-05,6823.799805,6824.200195,6771.500000,6775.399902,6775.399902,630136500
2014-03-06,6775.399902,6806.600098,6771.000000,6788.500000,6788.500000,666186300
2014-03-07,6788.500000,6800.700195,6706.399902,6712.700195,6712.700195,793752600
2014-03-10,6712.700195,6757.000000,6671.600098,6689.500000,6689.500000,820416900
2014-03-11,6689.500000,6718.299805,6660.600098,6685.500000,6685.500000,868947800
2014-03-12,6685.500000,6685.500000,6598.399902,6620.899902,6620.899902,891943200
2014-03-13,6620.899902,6631.399902,6552.500000,6553.799805,6553.799805,895818900
2014-03-14,6553.799805,6553.799805,6500.399902,6527.899902,6527.899902,847299400
2014-03-17,6527.899902,6592.399902,6527.899902,6568.399902,6568.399902,692708400
2014-03-18,6568.399902,6628.200195,6534.899902,6605.299805,6605.299805,723690100
2014-03-19,6605.299805,6609.500000,6566.899902,6573.100098,6573.100098,1051188400
2014-03-20,6573.100098,6573.100098,6492.600098,6542.399902,6542.399902,795074200
2014-03-21,6542.399902,6572.100098,6537.899902,6557.200195,6557.200195,1501522000
2014-03-24,6557.200195,6569.000000,6506.399902,6520.399902,6520.399902,762850300
2014-03-25,6520.399902,6604.899902,6520.399902,6604.899902,6604.899902,674287000
2014-03-26,6604.899902,6643.600098,6601.799805,6605.299805,6605.299805,1429765600
2014-03-27,6605.299805,6605.299805,6561.399902,6588.299805,6588.299805,850226700
2014-03-28,6588.299805,6631.500000,6585.700195,6615.600098,6615.600098,1001322600
2014-03-31,6615.600098,6658.399902,6583.100098,6598.399902,6598.399902,868366300
2014-04-01,6598.399902,6660.299805,6598.399902,6652.600098,6652.600098,857737300
2014-04-02,6652.600098,6672.700195,6639.600098,6659.000000,6659.000000,973749400
2014-04-03,6659.000000,6680.799805,6638.500000,6649.100098,6649.100098,670678000
2014-04-04,6649.100098,6706.299805,6649.100098,6695.600098,6695.600098,876352600
2014-04-07,6695.600098,6695.600098,6614.700195,6622.799805,6622.799805,667468200
2014-04-08,6622.799805,6625.200195,6549.799805,6590.700195,6590.700195,1056680100
2014-04-09,6590.700195,6654.100098,6590.399902,6635.600098,6635.600098,758993600
2014-04-10,6635.600098,6688.299805,6620.399902,6642.000000,6642.000000,671373100
2014-04-11,6642.000000,6642.000000,6538.799805,6561.700195,6561.700195,817952500
2014-04-14,6561.700195,6583.799805,6507.100098,6583.799805,6583.799805,983152200
2014-04-15,6583.799805,6594.200195,6534.200195,6541.600098,6541.600098,858936000
2014-04-16,6541.600098,6597.000000,6541.600098,6584.200195,6584.200195,686337200
2014-04-17,6584.200195,6627.299805,6559.399902,6625.299805,6625.299805,842349900
2014-04-22,6625.299805,6706.200195,6625.299805,6681.799805,6681.799805,843999800
2014-04-23,6681.799805,6694.799805,6661.399902,6674.700195,6674.700195,637850100
2014-04-24,6674.700195,6724.600098,6667.700195,6703.000000,6703.000000,616106700
2014-04-25,6703.000000,6704.399902,6657.299805,6685.700195,6685.700195,578697500
2014-04-28,6685.700195,6720.299805,6682.899902,6700.200195,6700.200195,652775300
2014-04-29,6700.200195,6769.899902,6700.100098,6769.899902,6769.899902,674490500
2014-04-30,6769.899902,6794.899902,6748.799805,6780.000000,6780.000000,773112200
2014-05-01,6780.000000,6811.600098,6773.700195,6808.899902,6808.899902,649344400
2014-05-02,6808.899902,6838.200195,6798.600098,6822.399902,6822.399902,746449000
2014-05-06,6822.399902,6828.600098,6785.299805,6798.600098,6798.600098,732623500
2014-05-07,6798.600098,6799.299805,6766.799805,6796.399902,6796.399902,768894900
2014-05-08,6796.399902,6840.399902,6796.399902,6839.299805,6839.299805,818478900
2014-05-09,6839.299805,6839.399902,6805.399902,6814.600098,6814.600098,617677000
2014-05-12,6814.600098,6851.799805,6814.600098,6851.799805,6851.799805,565733200
2014-05-13,6851.799805,6877.399902,6846.000000,6873.100098,6873.100098,631554800
2014-05-14,6873.100098,6880.100098,6854.000000,6878.500000,6878.500000,529825700
2014-05-15,6878.500000,6894.899902,6821.700195,6840.899902,6840.899902,896969900
2014-05-16,6840.899902,6855.899902,6813.500000,6855.799805,6855.799805,985979600
2014-05-19,6855.799805,6862.200195,6804.299805,6844.600098,6844.600098,745674100
2014-05-20,6844.600098,6848.399902,6792.500000,6802.000000,6802.000000,680773300
2014-05-21,6802.000000,6821.000000,6782.799805,6821.000000,6821.000000,733746900
2014-05-22,6821.000000,6846.600098,6810.200195,6820.600098,6820.600098,564880200
2014-05-23,6820.600098,6825.500000,6793.500000,6815.799805,6815.799805,485846000
2014-05-27,6815.799805,6857.100098,6815.399902,6844.899902,6844.899902,585487200
2014-05-28,6844.899902,6855.799805,6833.600098,6851.200195,6851.200195,577490600
2014-05-29,6851.200195,6882.100098,6848.100098,6871.299805,6871.299805,403366600
2014-05-30,6871.299805,6874.299805,6832.000000,6844.500000,6844.500000,1174009700
2014-06-02,6844.500000,6874.399902,6844.500000,6864.100098,6864.100098,573724300
2014-06-03,6864.100098,6865.399902,6818.000000,6836.299805,6836.299805,505128700
2014-06-04,6836.299805,6840.600098,6800.100098,6818.600098,6818.600098,575435900
2014-06-05,6818.600098,6847.000000,6795.299805,6813.500000,6813.500000,627405700
2014-06-06,6813.500000,6862.899902,6813.500000,6858.200195,6858.200195,774866500
2014-06-09,6858.200195,6879.000000,6857.700195,6875.000000,6875.000000,388132800
2014-06-10,6875.000000,6875.200195,6835.799805,6873.600098,6873.600098,535388800
2014-06-11,6873.600098,6873.600098,6825.200195,6838.899902,6838.899902,676538600
2014-06-12,6838.899902,6853.200195,6827.000000,6843.100098,6843.100098,527380800
2014-06-13,6843.100098,6843.100098,6758.200195,6777.899902,6777.899902,640614600
2014-06-16,6777.899902,6779.399902,6748.000000,6754.600098,6754.600098,604240100
2014-06-17,6754.600098,6774.899902,6736.100098,6766.799805,6766.799805,577374400
2014-06-18,6766.799805,6799.600098,6766.799805,6778.600098,6778.600098,511450700
2014-06-19,6778.600098,6837.600098,6778.600098,6808.100098,6808.100098,564148400
2014-06-20,6808.100098,6840.600098,6791.200195,6825.200195,6825.200195,1020446400
2014-06-23,6825.200195,6829.799805,6785.799805,6800.600098,6800.600098,466639400
2014-06-24,6800.600098,6824.500000,6776.799805,6787.100098,6787.100098,570127000
2014-06-25,6787.100098,6787.100098,6716.399902,6733.600098,6733.600098,585547600
2014-06-26,6733.600098,6753.299805,6701.600098,6735.100098,6735.100098,902551300
2014-06-27,6735.100098,6767.600098,6735.100098,6757.799805,6757.799805,516986900
2014-06-30,6757.799805,6777.100098,6730.500000,6743.899902,6743.899902,614336500
2014-07-01,6743.899902,6805.899902,6743.899902,6802.899902,6802.899902,514345100
2014-07-02,6802.899902,6829.500000,6796.600098,6816.399902,6816.399902,479498000
2014-07-03,6816.399902,6866.600098,6815.500000,6865.200195,6865.200195,523958700
2014-07-04,6865.200195,6875.299805,6856.399902,6866.100098,6866.100098,329363500
2014-07-07,6866.100098,6866.399902,6817.600098,6823.500000,6823.500000,389059700
2014-07-08,6823.500000,6831.000000,6738.500000,6738.500000,6738.500000,660675300
2014-07-09,6738.500000,6740.799805,6692.799805,6718.000000,6718.000000,602260300
2014-07-10,6718.000000,6724.799805,6643.600098,6672.399902,6672.399902,764873500
2014-07-11,6672.399902,6696.100098,6663.700195,6690.200195,6690.200195,533174800
2014-07-14,6690.200195,6760.700195,6690.200195,6746.100098,6746.100098,468494700
2014-07-15,6746.100098,6764.000000,6709.200195,6710.500000,6710.500000,604327700
2014-07-16,6710.500000,6792.600098,6710.500000,6784.700195,6784.700195,610714400
2014-07-17,6784.700195,6784.700195,6727.700195,6738.299805,6738.299805,631724300
2014-07-18,6738.299805,6749.899902,6690.899902,6749.500000,6749.500000,585590200
2014-07-21,6749.500000,6753.399902,6715.799805,6728.399902,6728.399902,470701900
2014-07-22,6728.399902,6801.799805,6728.399902,6795.299805,6795.299805,538472400
2014-07-23,6795.299805,6822.700195,6773.100098,6798.200195,6798.200195,589203600
2014-07-24,6798.200195,6821.500000,6767.299805,6821.500000,6821.500000,541591300
2014-07-25,6821.500000,6830.799805,6780.700195,6791.600098,6791.600098,661620000
2014-07-28,6791.600098,6809.600098,6761.799805,6788.100098,6788.100098,528691400
2014-07-29,6788.100098,6833.700195,6784.000000,6807.799805,6807.799805,527703100
2014-07-30,6807.799805,6815.299805,6758.200195,6773.399902,6773.399902,692780400
2014-07-31,6773.399902,6797.100098,6716.299805,6730.100098,6730.100098,919865400
2014-08-01,6730.100098,6730.100098,6624.700195,6679.200195,6679.200195,695334800
2014-08-04,6679.200195,6715.600098,6669.899902,6677.500000,6677.500000,522832700
2014-08-05,6677.500000,6713.500000,6671.500000,6682.500000,6682.500000,512852200
2014-08-06,6682.500000,6682.500000,6588.399902,6636.200195,6636.200195,803798800
2014-08-07,6636.200195,6649.100098,6589.799805,6597.399902,6597.399902,565630100
2014-08-08,6597.399902,6597.399902,6528.700195,6567.399902,6567.399902,645423400
